Question,round
"Kalau lu berdoa, jempol mana yang di atas?",1
Lirik lagu rohani yang lu paling suka?,1
Apa makanan teraneh yang lu pernah coba?,1
"Lu lebih mirip ama yang mana: keju, susu, mentega? Kenapa?",1
"Optional: Gambarkan satu stiker pentol yang menggambarkan teman lu. (Kasih contoh, dan kasih input gambar)",1
Hal anti-mainstream yang lu paling suka?,1
"Kalau lu dapat kesempatan reinkarnasi, mau jadi apa/siapa?",1
Lu dapat selendang dari seorang Ratu terkenal di dunia. Lu mau pakaikan ke siapa?,1
"Kalau lu jadi pembuat soda terkenal sampe Coca-Cola bisa bangkrut, apa tagline soda lu?",1
Lu dapat kesempatan memilih makanan apapun di dunia ini sebelum kiamat. Makanan apa yang lu pilih?,1
Hal terusil yang lu pernah lakukan?,1
"Kalo lo bisa ganti nama, lo mau ganti jadi apa?",1
Secret talent lo?,1
Berapa lama waktu yang lo butuhkan buat mandi?,1
"Pernah salah potong rambut ga? Kalo pernah, kayak apa?",1
Pekerjaan rumah apa yang lo ga keberatan buat lakuin?,1
Nama orang paling aneh yang pernah lo temuin?,1
Genre film favorite lo?,1
Apa fast food favorite lo?,1
bubur diaduk/di campur,1
apartement ato rumah,1
the person that you grateful to have,1
"if you could change 1 thing, what it would be",1
travel dreams?,1
would you like to be different? why?,1
what is one thing that many people don't know about you?,1
reveal 1 lie and 1 truth about you,1
salad or steak?,1
movie that describe you,1
what does a perfect day look like to you,1
dulu pas SMA jurusan IPA atau IPS? ,1
series/film yang kudu mesti wajib orang lain nonton sekarang juga,1
"kalo lo essetial oil, wangi lo apa, dan filosofinya apa?",1
"kalo lo jadi anak band dan lo punya wild card to join any band, lo mau join apa dan kenapa?",1
"kalo kehidupan ini adalah anime, lo pengen jadi siapa dan kenapa?",1
"kalo lo cuma boleh makan 1 menu untuk seumur hidup lo, lo mau makan apa?",1
"kalo lu lagi main dating app trus dapat super like dari anya geraldine, apa yang akan lo lakukan?",1
"kalo tiba2 masuk ruang audisi indonesian idol, lo bakal nyanyi apa??",1
"kalo lo atlet bola, lo mau di kasi nomer punggung berapa?? ",1
Bangun pagi/ tidur mlm?,1
Favourite tv series?,1
Makanan paling enak yang seumur idup pernah u makan?,1
What movie title best describes your life?,1
Suka anjing apa kucing?,1
Siapa yang di follow sama artist di sosmed?,1
Lomba apa yang ada di INdonesia yang harusnya masuk jadi cabang olahraga di Olimpiade?,1
Makanan/minuman apa yang muncul pertama kali di pikiran u kalau u ga punya ide/bingung mau makan apa?,1
Coba tolong puji orang di member u?,1
Apa yang lu paling syukuri sama Tuhan dengan hidup ini?,2
Apa yang membuat seseorang itu pendengar yang baik?,2
Pilih satu orang disini untuk mimpi tidur lu? Mimpinya kayak gimana?,2
Pilih mana: hidup dengan tujuan? atau biarkan hidup mengalir? Why?,2
"Menurut lu, sahabat yang baik itu seperti apa?",2
"Kalau lu punya anak, dan nakalnya persis kayak lu, bagaimana lu akan asuh dia?",2
Pikirkan suatu hal yang lu inginkan tapi masih belum ada. Bagaimana doa lu?,2
Buah apa yang paling mirip ama diri lu? Kenapa?,2
Lu dipliih jadi capres berikutnya. Apa kampanye pemerintahan lu ke depan?,2
Suatu hari di rumah lu terjadi bencana alam dahsyat. Bencana alam seperti apa yang terpikir di pikiran lu?,2
"Ada sepasang sumpit dan seorang teman di depan lu. Siapa teman itu, dan apa yang lu ingin lakukan dengan sumpit itu?",2
Siapa orang yang paling berantakan di ruangan ini?,2
Kalimat pujian apa yang terdengar seperti menghina?,2
Tradisi keluarga yang dilakuin dari dulu sampe sekarang,2
Siapa orang paling kreatif di ruangan ini?,2
Bagian tubuh yang lo paling suka dari diri lo?,2
"Dalam sebuah hubungan, apa yang menjadi ""major turn off"" lo?",2
Kapan terakhir kali lo berbuat baik ke seseorang? Hal baik apa yang lo lakuin?,2
"Kalo ada penembakan tiba-tiba dan lo cuman bisa melindungi satu orang, siapa yang bakal lo lindungin di ruangan ini?",2
Sebutin satu kelebihan orang lain dan siapa!,2
Siapa orang yang paling lo kangenin sekarang?,2
"Kalau ada zombie apocalypse, pilih 3 orang di permainan ini untuk jadi tim lo!",2
what is your birth month?,2
"Are you single and available? if yes, tell other why they should consider you!",2
Who is your role model and why?,2
What would your friends say about you?,2
What was the happiest period of your life?,2
"dari smua player, siapa yang lo rela jadi calon mertua lo, dan kenapa",2
"dari semua player, siapa yang kayaknya klo tidur ngorok?",2
siapa yang paling mungkin di IG nya di follow sama Presiden Indonesia? kenapa?,2
"kalo di player ada yang belum married, siapa yang bakal married paling cepet",2
"klo lo pengen switch kehidupan ala2 ""jika aku menjadi"", pengennya tukeran sama siapa?",2
"suatu hari lo kecelakaan, kemudian lo boleh memilih kehilangan 1 bagian dalam tubuh lo (fisik), part apa di tubuh lo yang lo rela ilang?",2
who mostlikely to get FIRST GUINESS WORLD RECORD FOR SOMETHING? and what category that his/her gonna achieved?,2
siapa diantara player yang mostlikely applied for presidential election later?,2
kasi tau dong shio lo apa ,2
anak ibukota komen âœ‹ğŸ»,2
"apabila tiba waktunya untuk kita kembali kesurga, siapa orang terakhir diantara player yang ingin kamu temui :(",2
"Pada tau ga si ""player xx "" kelahiran tahun berapa???? sionya apaa??",2
"kalo lo tiba bangun2 jadi anggota boyband/girlband, siapa member yang lo pengen jadi anggota band lo?",2
Buku apa yang paling bagus yang pernah u baca dan menggubahkan hidup u? Why?,2
Hal baik apa yang pernah u lakuin yang ga ada orang yang tahu sampe sekarang?,2
Hobby apa yang u suka dan pengen banget dapet uang dari sana? why?,2
"Kalau u punya superpower, what would it be?",2
"Kalau u punya power untuk turn back time, mau ke umur brapa? Knapa?",2
Misteri apa yang sampe sekarang u kpengen banget tau tapi ga dapet2?,2
Tempat fantasi/dongeng apa yang pengen banget u datengin? Knapa?,2
Kualitas nomor satu apa yang musti dipunyai oleh pasangan u?,2
Kejadian/moment apa yang paling buat u tersentuh? (Boleh di dunia nyata/film/drama),2
Apa yang u pengen beli tapi sampe sekarang belon punya uang untuk beli? ğŸ˜­,2
"Kebiasaan apa dari temen u, yang u notice and always make you remember of him/her?",2
Favourite place yang biasa u pergi kalau lagi suntuk bet? Why?,2
Pertanyaan/pernyataan apa yang paling bikin u cepet naik darah?,2
Apa hal yang selalu u ragukan dalam hidup?,2
Hal apa yang pernah u kerjain dan bikin u jadi merasa sangat hidup?,2
Hal bodoh apa yang u bangga pernah dilakuin?,2
"Kalau punya banyak duit, u mau kasih apa ke temen di grup ini? Knapa?",2